Feature,Importance
cat__event_cause_pot_holes,0.049834404
cat__event_cause_vehicle_breakdown,0.02483533
cat__event_cause_tree_fall,0.022708632
cat__event_cause_accident,0.022408012
cat__event_cause_congestion,0.020388996
cat__junction_MekhriCircle,0.018874431
cat__event_type_planned,0.01880452
cat__junction_TataInstituteCircle,0.017470581
cat__junction_MysoreRd--MadhuPetrolBunkJunction,0.016436817
cat__zone_South Zone 1,0.015982552
cat__junction_BangaloreBodyBuildersJunc,0.015912432
cat__junction_RajeshwariJunc,0.015105324
cat__zone_Central Zone 2,0.014132257
cat__junction_SantheCircle,0.013575716
cat__zone_West Zone 1,0.012986464
cat__junction_TrinityCircle,0.01178664
cat__junction_NaganathapuraJunction,0.011501191
cat__month_February,0.010954932
cat__junction_JalahalliCross(SM Circle),0.010831462
cat__junction_Ashoknagar Junction(ShoolayCircle),0.010382459
cat__junction_K R Circle,0.010103693
cat__event_cause_water_logging,0.009817575
cat__zone_East Zone 1,0.009592357
cat__priority_High,0.009533328
cat__event_cause_others,0.009113901
cat__event_type_unplanned,0.008739563
cat__zone_North Zone 2,0.008597705
cat__zone_West Zone 2,0.008438456
cat__junction_KhodaysCircle(DV UrsCircle),0.008357974
cat__event_cause_Debris,0.008237905
cat__junction_ShivandaCircle,0.00807924
cat__month_November,0.007851854
cat__junction_AgaraJunction,0.007541514
cat__junction_JP Nagar 9th cross-24th main jn,0.007537491
cat__junction_Richmond circle jn,0.0075373915
cat__junction_ShivanahalliJunctionWOC,0.0074926154
cat__junction_Shivajinagar(BRV)Junction,0.0074324063
num__hour,0.007298938
cat__priority_Low,0.007234718
cat__junction_YelhankaBypass,0.0071783173
num__longitude,0.0071666567
cat__junction_Shivashankara circle,0.006919234
cat__junction_PoliceCornerJunc,0.0069087828
cat__event_cause_road_conditions,0.006789081
cat__junction_StateBankofMysoreJunc,0.0067770896
cat__zone_Central Zone 1,0.006735486
cat__junction_KrishnaFlourMill,0.006680775
cat__junction_MysoreRd-RingRdJunc(Nayandanahallii),0.006624991
num__latitude,0.0065883445
cat__event_cause_construction,0.0065569174
cat__junction_YeshwanthpuraCircle,0.006540548
cat__junction_Arbindo Circle,0.0064672204
cat__junction_SatteliteBusStandJunc,0.0063763554
cat__junction_Marigowda-TavarkereRdJunc,0.0062404857
cat__junction_BloodBankCircle,0.006155579
cat__junction_CMP GateJunc,0.0060901335
cat__zone_South Zone 2,0.0059955437
cat__junction_SRS Peenya Junc,0.0059701223
cat__junction_GoruguntepalyaJunc,0.0059011057
cat__zone_North Zone 1,0.005896793
cat__junction_SubedarChatramRd near SheshadripuramPS,0.0057899533
cat__junction_KIMCO Junction,0.005786451
cat__junction_Peenya2ndStageBusStand,0.005761558
cat__junction_toll gate mysore road,0.005743285
cat__day_name_Tuesday,0.0056341523
cat__junction_JakkurCrossJunction,0.005583915
cat__junction_OperaHouseJunc,0.005455038
cat__junction_WilsonGarden12thCrossJunc,0.0053153154
cat__month_January,0.00528274
cat__junction_ShantalaJunction,0.0051950947
cat__junction_KundanahalliGateJunc,0.005119963
cat__junction_DomlurWaterTank,0.00504179
cat__junction_Devasandra(k r puram),0.0050303163
cat__event_cause_procession,0.0049294555
cat__junction_MotherTeressaCircle,0.004867791
cat__junction_SadahalliGateJunc(AirportRd),0.0048650713
cat__zone_East Zone 2,0.0047786343
cat__junction_PurnimaTheaterJunc,0.0047426657
cat__junction_SandeepUnnikrishnan-Yelhanka,0.0047276765
cat__junction_SiddalingaiahCircle,0.004637558
