junction,closure_rate,prediction_accuracy,avg_prediction_error
NagaTheaterJunc-Ulsoor,1.0,1.0,0.11176121
BrigadeMillenium,1.0,1.0,0.049681783
VishweswaraiahJunctio(Uttamsagar),1.0,1.0,0.009293377
KHB Junction,1.0,0.0,0.8578879
ColesParkJunc,1.0,1.0,0.1878022
YediyurMeternityHospital,1.0,1.0,0.08468437
WiproJunc-Koramangala,1.0,1.0,0.022986233
"Trilight Circle,Race course Road",1.0,1.0,0.08767149
UpparpetJunction,1.0,1.0,0.00852409
MysoreRd--MadhuPetrolBunkJunction,0.75,1.0,0.08391675
BM ShriJunc(CMH-100FtRd)Junc,0.6666666666666666,0.6666666666666666,0.3607495
HennurRd-DavisRdJunction,0.6,0.8,0.22270179
SwagathMainRd-EastEndRdJunc,0.5,1.0,0.054986343
ChandrikaJunction,0.5,1.0,0.16250974
SubedarChatramRd near SheshadripuramPS,0.5,1.0,0.19443862
BEML GateJunc(SuranjandasRd),0.5,1.0,0.09765868
Peenya2ndStageBusStand,0.5,0.5,0.56056786
MaharajaJunction,0.5,0.5,0.5
Indiranasgar13thMainJunc,0.5,1.0,0.31780168
AnepalyaJunc,0.5,0.5,0.4450357
KCG HospitalJunction,0.5,1.0,0.11110582
NavarangBarJunc-Dr RajkumarRd,0.5,1.0,0.14962083
HoodiJunction,0.5,0.6666666666666666,0.38393703
K R MarketJunction,0.42857142857142855,0.42857142857142855,0.49362794
SiddapuraJunction,0.4,0.4,0.5396895
SadashivnagarJunc,0.38461538461538464,0.7692307692307693,0.34129488
Richmond circle jn,0.36363636363636365,0.5454545454545454,0.519984
ShankarMuttCircle,0.3333333333333333,0.6666666666666666,0.4128035
JohnsonMarket,0.3333333333333333,1.0,0.23119117
PlatformRdJunction,0.3333333333333333,0.3333333333333333,0.5130239
Delmia-Jayanagar,0.3333333333333333,1.0,0.08865917
K H Road-SiddaiahRdJunc(BMTC-BigBazaar),0.3333333333333333,0.3333333333333333,0.5091354
"Bellandur Junction, Outer ring road",0.3333333333333333,1.0,0.26288235
ShivanahalliJunctionWOC,0.3333333333333333,1.0,0.15180612
AgaraJunction,0.3333333333333333,0.5,0.44857582
Ashoknagar Junction(ShoolayCircle),0.3333333333333333,0.3333333333333333,0.60673004
ModiBridgeJunction,0.3333333333333333,0.6666666666666666,0.33976892
BDA Junctio-Koramangala,0.3333333333333333,1.0,0.08979233
5thMainHSR,0.3333333333333333,1.0,0.18084805
KrishnaFlourMill,0.3157894736842105,0.8421052631578947,0.2707185
Arbindo Circle,0.3,0.8,0.306662
K R Circle,0.2903225806451613,0.5806451612903226,0.49625126
BinnyMillJunction,0.2857142857142857,0.5714285714285714,0.3706569
TC Palya-OM RoadJunc,0.25,0.5,0.51457995
NavarangTheatreJunction,0.25,1.0,0.050058775
"VeerannapalyaJunction(BEL,HO)",0.23333333333333334,0.7666666666666667,0.27403226
SubbannaJunction,0.2222222222222222,0.5555555555555556,0.42443597
BMTCJunction-K H Road,0.2,0.4,0.48705235
SantheCircle,0.2,0.8,0.32778975
PotteryCircle,0.2,0.6,0.4304337
Dr RajkumarRd-10thCrossRdJunc,0.2,1.0,0.1387801
Krupanidhi College,0.2,0.6,0.3092588
Shivashankara circle,0.2,0.2,0.50603133
JP Nagar 9th cross-24th main jn,0.2,0.8,0.44675344
HudsonCircle,0.1875,0.9375,0.30466783
SiddalingaiahCircle,0.18181818181818182,1.0,0.32777283
UniversityJunc(Janabharti),0.18181818181818182,0.9090909090909091,0.22164606
RajeshwariJunc,0.18181818181818182,0.3181818181818182,0.5980988
HoramavuJunction,0.16666666666666666,1.0,0.16045341
BTM16thMain-ORR Junc,0.16666666666666666,0.6666666666666666,0.34394896
UlsoorGateJunc,0.16666666666666666,1.0,0.30087683
OperaHouseJunc,0.16666666666666666,1.0,0.2650373
KalyanNagar-ORR Junc,0.16666666666666666,0.8333333333333334,0.23697269
TataInstituteCircle,0.16666666666666666,0.8333333333333334,0.4048033
"PriyadarshiniHotel,Jayamahal,RT Nagar",0.16666666666666666,1.0,0.1547374
NIMHANS Junction,0.16666666666666666,0.5,0.5650697
DomlurWaterTank,0.16666666666666666,0.8333333333333334,0.3857459
SagarTheatreJunc,0.16666666666666666,0.3333333333333333,0.49826267
BanashankariBusStandJunc,0.15384615384615385,1.0,0.039243393
PoliceCornerJunc,0.15384615384615385,0.19230769230769232,0.6629611
CMP GateJunc,0.15,0.85,0.24887891
HebbalFlyoverJunc,0.14285714285714285,0.8571428571428571,0.25067508
LeprosyhospitalJunc,0.14285714285714285,0.9523809523809523,0.15314169
ShivajiTalkiesJunc,0.14285714285714285,0.7142857142857143,0.3558221
RingRoad-UllalJunction,0.14285714285714285,0.42857142857142855,0.429131
